ExceptionTerm;ExceptionTermName;ForbiddenProcessCode;ForbiddenProcessName;OrdCode
A00HQ;Tomatoes and similar-;A07LN;Juicing;1.1
A00HQ;Tomatoes and similar-;A07KF;Concentration / evaporation;1.2
A00HQ;Tomatoes and similar-;A0C6N;Pulping / mashing;1.1
A00HQ;Tomatoes and similar-;A0BYN;Aseptic filling;4
A00HQ;Tomatoes and similar-;A0BYP;Canning / jarring;4
A00HQ;Tomatoes and similar-;A07KL;Semi-drying (e.g. Fruits);3
A00HQ;Tomatoes and similar-;A07KG;Drying (dehydration);3
A00HQ;Tomatoes and similar-;A07KH;Freeze-drying (lyophilisation);3
A00HQ;Tomatoes and similar-;A07KJ;Air / heat drying;3
A00HQ;Tomatoes and similar-;A0C0C;Spray drying;3
A00HQ;Tomatoes and similar-;A07KK;Sun drying;3
